CA #,WHTPOP,WHT,BLKPOP,BLK,NAPOP,NA,ASPOP,AS,OTHPOP,OTH,LATPOP,LAT,MULPOP,MUL,TOTPOP
CA 01,21618,39.31,14461,26.30,142,0.26,3523,6.41,241,0.44,13433,24.43,1573,2.86,54991
CA 02,30706,42.68,8015,11.14,189,0.26,16184,22.50,228,0.32,14701,20.43,1919,2.67,71942
CA 03,29098,51.63,11275,20.00,191,0.34,6414,11.38,140,0.25,8009,14.21,1235,2.19,56362
CA 04,24916,63.09,1488,3.77,72,0.18,4399,11.14,139,0.35,7562,19.15,917,2.32,39493
CA 05,24634,77.30,738,2.32,55,0.17,1449,4.55,67,0.21,4330,13.59,594,1.86,31867
CA 06,75845,80.37,3651,3.87,110,0.12,5653,5.99,184,0.19,7198,7.63,1727,1.83,94368
CA 07,53138,82.88,2753,4.29,54,0.08,3296,5.14,133,0.21,3571,5.57,1171,1.83,64116
CA 08,58033,72.11,8732,10.85,79,0.10,8140,10.11,188,0.23,3974,4.94,1338,1.66,80484
CA 09,9885,88.36,29,0.26,3,0.03,269,2.40,9,0.08,872,7.79,120,1.07,11187
CA 10,30157,81.45,164,0.44,54,0.15,1696,4.58,39,0.11,4442,12.00,471,1.27,37023
CA 11,17475,68.67,265,1.04,71,0.28,2256,8.87,43,0.17,4927,19.36,411,1.62,25448
CA 12,13815,74.64,137,0.74,22,0.12,1989,10.75,16,0.09,2126,11.49,403,2.18,18508
CA 13,8847,49.34,573,3.20,42,0.23,4600,25.65,86,0.48,3224,17.98,559,3.12,17931
CA 14,15054,29.21,2076,4.03,119,0.23,7430,14.42,181,0.35,25487,49.45,1195,2.32,51542
CA 15,34329,53.54,856,1.33,107,0.17,2972,4.63,136,0.21,24861,38.77,863,1.35,64124
CA 16,22234,41.67,1736,3.25,124,0.23,3736,7.00,137,0.26,24332,45.60,1060,1.99,53359
CA 17,29512,70.38,308,0.73,40,0.10,1587,3.78,54,0.13,9997,23.84,434,1.04,41932
CA 18,5041,37.55,598,4.45,21,0.16,377,2.81,29,0.22,7248,53.98,112,0.83,13426
CA 19,11959,15.19,2493,3.17,74,0.09,1537,1.95,159,0.20,62101,78.87,420,0.53,78743
CA 20,1913,7.65,757,3.03,16,0.06,294,1.18,38,0.15,21860,87.41,132,0.53,25010
CA 21,11166,28.44,991,2.52,69,0.18,1194,3.04,93,0.24,25295,64.43,454,1.16,39262
CA 22,29175,39.64,3913,5.32,111,0.15,1904,2.59,198,0.27,37340,50.74,954,1.30,73595
CA 23,2502,4.44,23030,40.89,56,0.10,222,0.39,88,0.16,30046,53.35,379,0.67,56323
CA 24,46390,56.97,6391,7.85,121,0.15,3030,3.72,187,0.23,23856,29.30,1457,1.79,81432
CA 25,4364,4.43,83837,85.10,161,0.16,573,0.58,74,0.08,8722,8.85,783,0.79,98514
CA 26,133,0.74,17315,96.19,22,0.12,8,0.04,11,0.06,348,1.93,164,0.91,18001
CA 27,698,3.39,18696,90.90,24,0.12,83,0.40,20,0.10,850,4.13,196,0.95,20567
CA 28,23042,41.99,17303,31.53,84,0.15,8022,14.62,170,0.31,5048,9.20,1212,2.21,54881
